x,theta,xDot,thetaDot,u
-0.0349506,0.544621,0.0472568,-0.830239,0.0878545
-0.0343066,0.545526,0.0473204,-0.83093,0.0894256
-0.0336443,0.546458,0.0473804,-0.831639,0.0910049
-0.0329637,0.547417,0.0474368,-0.832368,0.0925923
-0.0322648,0.548405,0.0474894,-0.833116,0.0941878
-0.0315478,0.549422,0.0475381,-0.833885,0.0957912
-0.0308129,0.550469,0.0475825,-0.834675,0.0974023
-0.03006,0.551546,0.0476226,-0.835486,0.0990209
-0.0292894,0.552656,0.0476582,-0.83632,0.100647
-0.0285012,0.553798,0.047689,-0.837177,0.102279
-0.0276956,0.554973,0.0477149,-0.838058,0.103918
-0.0268727,0.556183,0.0477355,-0.838963,0.105562
-0.0260328,0.557428,0.0477507,-0.839893,0.107211
-0.025176,0.55871,0.0477601,-0.840849,0.108864
-0.0243026,0.560028,0.0477637,-0.841831,0.110519
-0.0234128,0.561385,0.0477609,-0.842841,0.112176
-0.0225069,0.56278,0.0477517,-0.84388,0.113831
-0.0215851,0.564216,0.0477356,-0.844947,0.115484
-0.0206478,0.565693,0.0477125,-0.846045,0.117132
-0.0196951,0.567213,0.0476818,-0.847173,0.118773
-0.0187276,0.568776,0.0476434,-0.848334,0.120402
-0.0177455,0.570383,0.0475968,-0.849527,0.122017
-0.0167492,0.572036,0.0475418,-0.850754,0.123614
-0.0157391,0.573736,0.0474778,-0.852016,0.125188
-0.0147156,0.575483,0.0474046,-0.853314,0.126733
-0.0136792,0.57728,0.0473218,-0.854649,0.128243
-0.0126304,0.579127,0.0472288,-0.856023,0.129711
-0.0115696,0.581026,0.0471253,-0.857436,0.131129
-0.0104975,0.582978,0.0470109,-0.858889,0.132489
-0.00941448,0.584983,0.046885,-0.860385,0.133779
-0.00832129,0.587044,0.0467472,-0.861924,0.134989
-0.00721851,0.589162,0.046597,-0.863508,0.136106
-0.00610683,0.591338,0.0464339,-0.865138,0.137114
-0.00498695,0.593573,0.0462574,-0.866816,0.137999
-0.00385963,0.595869,0.046067,-0.868543,0.138741
-0.00272567,0.598227,0.045862,-0.870321,0.139321
-0.00158589,0.600648,0.045642,-0.872151,0.139717
-0.000441185,0.603134,0.0454064,-0.874036,0.139903
0.000707508,0.605687,0.0451547,-0.875977,0.139851
0.00185921,0.608307,0.0448861,-0.877975,0.139532
0.00301288,0.610996,0.0446002,-0.880034,0.138912
0.00416743,0.613756,0.0442964,-0.882155,0.137954
0.00532171,0.616587,0.043974,-0.88434,0.136618
0.00647451,0.619492,0.0436324,-0.886591,0.13486
0.00762457,0.622472,0.0432711,-0.888911,0.132632
0.00877054,0.625528,0.0428895,-0.891302,0.129881
0.00991103,0.628661,0.042487,-0.893766,0.126553
0.0110446,0.631873,0.0420629,-0.896307,0.122587
0.0121697,0.635166,0.0416168,-0.898926,0.117918
0.0132846,0.63854,0.0411481,-0.901628,0.112478
0.0143879,0.641998,0.0406562,-0.904414,0.106195
0.0154776,0.64554,0.0401407,-0.907287,0.0989921
0.016552,0.649167,0.039601,-0.910252,0.0907908
0.0176091,0.652881,0.0390369,-0.913312,0.0815089
0.0186471,0.656684,0.0384477,-0.91647,0.0710629
0.019664,0.660576,0.0378333,-0.919729,0.0593682
0.0206575,0.664558,0.0371934,-0.923094,0.0463405
0.0216256,0.668632,0.0365276,-0.926569,0.0318976
0.0225661,0.672798,0.0358359,-0.930157,0.0159606
0.0234767,0.677058,0.0351182,-0.933864,-0.00154363
0.0243552,0.681412,0.0343744,-0.937695,-0.0206801
0.0251992,0.685861,0.0336046,-0.941653,-0.0415032
0.0260065,0.690405,0.0328091,-0.945744,-0.0640536
0.0267746,0.695047,0.031988,-0.949973,-0.088355
0.0275013,0.699784,0.031142,-0.954345,-0.114411
0.0281842,0.70462,0.0302713,-0.958868,-0.142199
0.0288212,0.709552,0.0293768,-0.963545,-0.171671
0.0294099,0.714582,0.0284593,-0.968385,-0.202745
0.0299484,0.71971,0.0275196,-0.973392,-0.235304
0.0304345,0.724935,0.0265589,-0.978574,-0.269192
0.0308665,0.730256,0.0255786,-0.983938,-0.304212
0.0312425,0.735675,0.0245799,-0.989491,-0.34012
0.0315611,0.741188,0.0235647,-0.995241,-0.376632
0.0318207,0.746797,0.0225346,-1.00119,-0.413415
0.0320204,0.752499,0.0214916,-1.00736,-0.450096
0.0321592,0.758294,0.020438,-1.01375,-0.48626
0.0322364,0.764179,0.019376,-1.02036,-0.52146
0.0322517,0.770153,0.0183082,-1.02722,-0.55522
0.0322049,0.776214,0.0172373,-1.03432,-0.587046
0.0320965,0.78236,0.016166,-1.04167,-0.616437
0.0319268,0.788587,0.0150973,-1.04929,-0.642894
0.0316968,0.794893,0.0140344,-1.05718,-0.665935
0.0314077,0.801276,0.0129802,-1.06536,-0.685111
0.0310609,0.807731,0.0119382,-1.07382,-0.70001
0.0306582,0.814254,0.0109114,-1.08259,-0.710282
0.0302018,0.820843,0.00990326,-1.09166,-0.715639
0.0296938,0.827491,0.00891691,-1.10106,-0.715872
0.029137,0.834196,0.00795554,-1.11078,-0.710853
0.0285341,0.840951,0.00702221,-1.12083,-0.700543
0.027888,0.847752,0.00611985,-1.13122,-0.684992
0.0272018,0.854593,0.00525125,-1.14196,-0.664336
0.0264786,0.861469,0.00441896,-1.15305,-0.638795
0.0257218,0.868374,0.00362536,-1.16449,-0.608664
0.0249345,0.875301,0.00287255,-1.17629,-0.574306
0.02412,0.882244,0.00216237,-1.18845,-0.536136
0.0232816,0.889196,0.00149641,-1.20096,-0.494612
0.0224224,0.896151,0.000875948,-1.21383,-0.45022
0.0215453,0.903101,0.000302,-1.22704,-0.403459
0.0206534,0.91004,-0.000224714,-1.24058,-0.354827
0.0197494,0.916961,-0.000703742,-1.25445,-0.304807
0.0188358,0.923855,-0.0011349,-1.26863,-0.253856
0.0179152,0.930715,-0.00151822,-1.28309,-0.20239
0.0169898,0.937534,-0.00185398,-1.29781,-0.150777
0.0160616,0.944302,-0.00214262,-1.31277,-0.0993275
0.0151325,0.951013,-0.00238474,-1.32793,-0.0482855
0.0142043,0.957657,-0.00258103,-1.34325,0.00217299
0.0132785,0.964224,-0.00273225,-1.35868,0.0519454
0.0123565,0.970703,-0.00283914,-1.37418,0.101003
0.0114395,0.977084,-0.00290241,-1.38969,0.149394
0.0105284,0.983354,-0.00292258,-1.40515,0.197238
0.00962436,0.989497,-0.00289997,-1.42049,0.244736
0.00872798,0.995497,-0.00283456,-1.43565,0.292176
0.00783988,1.00133,-0.00272589,-1.45055,0.339967
0.00696053,1.00699,-0.00257295,-1.46511,0.388715
0.00609029,1.01242,-0.00237417,-1.47925,0.439406
0.00522956,1.01761,-0.0021275,-1.4929,0.493804
0.0043791,1.02252,-0.00183087,-1.50596,0.555235
0.00354073,1.02709,-0.00148337,-1.51835,0.63049
0.00271912,1.03128,-0.0010885,-1.52999,0.730905
0.00192272,1.03502,-0.000652214,-1.5408,0.889528
0.0011799,1.03824,-0.000226097,-1.55066,1.16285
0.000521631,1.04089,0.00019022,-1.55942,1.69292
0.000137268,1.04294,0.000162582,-1.56671,3.56298
5.02751e-05,1.04386,-4.50798e-05,-1.56989,0
